sk_tempo,nm_grupo,dt_evento,nr_ano,nr_mes,nm_mes,nr_dia,nr_dia_semana,nm_dia_semana_extenso,nr_semestre,ds_semestre,ds_semestre_ano,nr_trimestre,ds_trimestre,nm_estacao_ano,ds_dia_util_feriado,ds_fim_semana,ds_data_extenso,dt_carga
20230303,INSIGHTHUNTERS,2023-03-03 00:00:00,2023,3,Março,3,6,Sexta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,DIA ÚTIL,NÃO,"Sexta-Feira , 3 de Março de 2023",2025-05-24 23:26:21
20230304,INSIGHTHUNTERS,2023-03-04 00:00:00,2023,3,Março,4,7,Sábado,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,FIM DE SEMANA,SIM,"Sábado , 4 de Março de 2023",2025-05-24 23:26:21
20230305,INSIGHTHUNTERS,2023-03-05 00:00:00,2023,3,Março,5,1,Domingo,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,FIM DE SEMANA,SIM,"Domingo , 5 de Março de 2023",2025-05-24 23:26:21
20230306,INSIGHTHUNTERS,2023-03-06 00:00:00,2023,3,Março,6,2,Segunda-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,DIA ÚTIL,NÃO,"Segunda-Feira , 6 de Março de 2023",2025-05-24 23:26:21
20230307,INSIGHTHUNTERS,2023-03-07 00:00:00,2023,3,Março,7,3,Terça-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,DIA ÚTIL,NÃO,"Terça-Feira , 7 de Março de 2023",2025-05-24 23:26:21
20230308,INSIGHTHUNTERS,2023-03-08 00:00:00,2023,3,Março,8,4,Quarta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,DIA ÚTIL,NÃO,"Quarta-Feira , 8 de Março de 2023",2025-05-24 23:26:21
20230309,INSIGHTHUNTERS,2023-03-09 00:00:00,2023,3,Março,9,5,Quinta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,DIA ÚTIL,NÃO,"Quinta-Feira , 9 de Março de 2023",2025-05-24 23:26:21
20230310,INSIGHTHUNTERS,2023-03-10 00:00:00,2023,3,Março,10,6,Sexta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,DIA ÚTIL,NÃO,"Sexta-Feira , 10 de Março de 2023",2025-05-24 23:26:21
20230311,INSIGHTHUNTERS,2023-03-11 00:00:00,2023,3,Março,11,7,Sábado,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,FIM DE SEMANA,SIM,"Sábado , 11 de Março de 2023",2025-05-24 23:26:21
20230312,INSIGHTHUNTERS,2023-03-12 00:00:00,2023,3,Março,12,1,Domingo,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,FIM DE SEMANA,SIM,"Domingo , 12 de Março de 2023",2025-05-24 23:26:21
20230313,INSIGHTHUNTERS,2023-03-13 00:00:00,2023,3,Março,13,2,Segunda-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,DIA ÚTIL,NÃO,"Segunda-Feira , 13 de Março de 2023",2025-05-24 23:26:21
20230314,INSIGHTHUNTERS,2023-03-14 00:00:00,2023,3,Março,14,3,Terça-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,DIA ÚTIL,NÃO,"Terça-Feira , 14 de Março de 2023",2025-05-24 23:26:21
20230315,INSIGHTHUNTERS,2023-03-15 00:00:00,2023,3,Março,15,4,Quarta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,DIA ÚTIL,NÃO,"Quarta-Feira , 15 de Março de 2023",2025-05-24 23:26:21
20230316,INSIGHTHUNTERS,2023-03-16 00:00:00,2023,3,Março,16,5,Quinta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,DIA ÚTIL,NÃO,"Quinta-Feira , 16 de Março de 2023",2025-05-24 23:26:21
20230317,INSIGHTHUNTERS,2023-03-17 00:00:00,2023,3,Março,17,6,Sexta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,DIA ÚTIL,NÃO,"Sexta-Feira , 17 de Março de 2023",2025-05-24 23:26:21
20230318,INSIGHTHUNTERS,2023-03-18 00:00:00,2023,3,Março,18,7,Sábado,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,FIM DE SEMANA,SIM,"Sábado , 18 de Março de 2023",2025-05-24 23:26:21
20230319,INSIGHTHUNTERS,2023-03-19 00:00:00,2023,3,Março,19,1,Domingo,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,FIM DE SEMANA,SIM,"Domingo , 19 de Março de 2023",2025-05-24 23:26:21
20230320,INSIGHTHUNTERS,2023-03-20 00:00:00,2023,3,Março,20,2,Segunda-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,DIA ÚTIL,NÃO,"Segunda-Feira , 20 de Março de 2023",2025-05-24 23:26:21
20230321,INSIGHTHUNTERS,2023-03-21 00:00:00,2023,3,Março,21,3,Terça-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,DIA ÚTIL,NÃO,"Terça-Feira , 21 de Março de 2023",2025-05-24 23:26:21
20230322,INSIGHTHUNTERS,2023-03-22 00:00:00,2023,3,Março,22,4,Quarta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,DIA ÚTIL,NÃO,"Quarta-Feira , 22 de Março de 2023",2025-05-24 23:26:21
20230323,INSIGHTHUNTERS,2023-03-23 00:00:00,2023,3,Março,23,5,Quinta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,DIA ÚTIL,NÃO,"Quinta-Feira , 23 de Março de 2023",2025-05-24 23:26:21
20230324,INSIGHTHUNTERS,2023-03-24 00:00:00,2023,3,Março,24,6,Sexta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,DIA ÚTIL,NÃO,"Sexta-Feira , 24 de Março de 2023",2025-05-24 23:26:21
20230325,INSIGHTHUNTERS,2023-03-25 00:00:00,2023,3,Março,25,7,Sábado,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,FIM DE SEMANA,SIM,"Sábado , 25 de Março de 2023",2025-05-24 23:26:21
20230326,INSIGHTHUNTERS,2023-03-26 00:00:00,2023,3,Março,26,1,Domingo,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,FIM DE SEMANA,SIM,"Domingo , 26 de Março de 2023",2025-05-24 23:26:21
20230327,INSIGHTHUNTERS,2023-03-27 00:00:00,2023,3,Março,27,2,Segunda-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Outono,DIA ÚTIL,NÃO,"Segunda-Feira , 27 de Março de 2023",2025-05-24 23:26:21
